filepath	readable_date	readable_time	status_website	login	submitted	tentativas	qualtrics
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/cyclesix_screen_20260204_095646.mp4	04.02.2026	09h56m46s	online	8	0	4	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/cyclesix_screen_20260204_125610.mp4	04.02.2026	12h56m10s	online	78	1	1	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/cyclesix_screen_20260204_141814.mp4	04.02.2026	14h18m14s	online	84	0	3	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/cyclesix_screen_20260204_164059.mp4	04.02.2026	16h40m59s	online	68	1	1	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/cyclesix_screen_20260205_113637.mp4	05.02.2026	11h36m37s	online	102	0	3	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/cyclesix_screen_20260205_145323.mp4	05.02.2026	14h53m23s	online	106	0	4	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/cyclesix_screen_20260206_140707.mp4	06.02.2026	14h07m07s	online	105	0	6	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/cyclesix_screen_20260206_145703.mp4	06.02.2026	14h57m03s	online	116	1	1	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/cyclesix_screen_20260209_112114.mp4	09.02.2026	11h21m14s	offline 502		0		0
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/cyclesix_screen_20260204_164059.mp4	04.02.2026	16h40m59s	online	68	0	1	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/cyclesix_screen_20260205_113637.mp4	05.02.2026	11h36m37s	online	102	0	5	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/cyclesix_screen_20260205_145323.mp4	05.02.2026	14h53m23s	online	106	0	3	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/cyclesix_screen_20260206_140707.mp4	06.02.2026	14h07m07s	online	105	0	5	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/cyclesix_screen_20260206_145703.mp4	06.02.2026	14h57m03s	online	116	1	1	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/cyclesix_screen_20260209_112114.mp4	09.02.2026	11h21m14s	offline 502	0	0	0	0
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/cyclesix_screen_20260202_145416.mp4	02.02.2026	14h54m16s	online	52	0	1	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/cyclesix_screen_20260202_165451.mp4	02.02.2026	16h54m51s	online	53	1	5	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/cyclesix_screen_20260203_095108.mp4	03.02.2026	09h51m08s	online	55	1	1	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/cyclesix_screen_20260203_131710.mp4	03.02.2026	13h17m10s	online	30	0	5	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/cyclesix_screen_20260203_144831.mp4	03.02.2026	14h48m31s	online	9	0	3	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/cyclesix_screen_20260204_100355.mp4	04.02.2026	10h03m55s	online	51	0	2	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/cyclesix_screen_20260204_112230.mp4	04.02.2026	11h22m30s	online	40	0	3	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/cyclesix_screen_20260204_141559.mp4	04.02.2026	14h15m59s	online	58	0	2	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/cyclesix_screen_20260205_101327.mp4	05.02.2026	10h13m27s	online	95	1	1	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/cyclesix_screen_20260205_131420.mp4	05.02.2026	13h14m20s	online	114	1	1	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/cyclesix_screen_20260210_110839.mp4	10.02.2026	11h08m39s	online	138	1	2	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/cyclesix_screen_20260210_133718.mp4	10.02.2026	13h37m18s	online	110	1	3	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/cyclesix_screen_20260210_150718.mp4	10.02.2026	15h07m18s	online	133	1	2	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/cyclesix_screen_20260211_122547.mp4	11.02.2026	12h25m47s	online	130	1	1	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/cyclesix_screen_20260202_171257.mp4	02.02.2026	17h12m57s	online	35	1	1	1
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/cyclesix_screen_20260203_111012.mp4	03.02.2026	11h10m12s					
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/cyclesix_screen_20260203_132559.mp4	03.02.2026	13h25m59s					
